compound,date
0.17,2023-11-06
0.18076666666666666,2023-11-07
0.4215,2023-11-08
0.0506,2023-11-09
0.296,2023-11-10
0.0,2023-11-11
0.0,2023-11-12
0.2202,2023-11-13
0.0,2023-11-14
0.295875,2023-11-15
0.0,2023-11-16
0.0,2023-11-17
-0.4767,2023-11-18
0.0,2023-11-19
0.5994,2023-11-20
0.0,2023-11-21
-0.0789,2023-11-22
0.0,2023-11-23
0.06743333333333333,2023-11-24
-0.5994,2023-11-25
0.0,2023-11-26
-0.064,2023-11-27
0.0726,2023-11-28
-0.11472,2023-11-29
0.12179999999999999,2023-11-30
0.0,2023-12-01
0.0,2023-12-02
0.0,2023-12-03
0.0,2023-12-04
0.1507666666666667,2023-12-05
0.06182000000000001,2023-12-06
0.14140000000000003,2023-12-07
0.0,2023-12-08
